JournalTitle	JrId	NlmId	IsoAbbr	MedAbbr	ISSN (Print)	ISSN (Online)
Archives de philosophie	23474	100966193	Arch Philos	Arch Philos	0003-9632	
Abr-Nahrain : an annual under the auspices of the Department of Semitic Studies, University of Melbourne	23475	100966232	Abr Nahain	Abr Nahain	0065-0382	
Accademie e biblioteche d'Italia	23476	100966252	Accad Bibl Ital	Accad Bibl Ital	0001-4451	
Archeologia (Torun, Poland)	23477	100966263	Archeologia	Archeologia	0137-6616	
Der Archivar	23478	100966285	Archivar	Archivar	0003-9500	
Appalachian journal	23480	100966171	Appalach J	Appalach J	0090-3779	
Arab studies quarterly	23481	100966172	Arab Stud Q	Arab Stud Q	0271-3519	
Arabica	23482	100966173	Arabica	Arabica	0570-5398	
Archiv fur Geschichte des Buchwesens	23483	100966178	Arch Gesch Buchwes	Arch Gesch Buchwes	0066-6327	
Archiv fur die Geschichte von Oberfranken	23484	100966179	Arch Gesch Oberfranken	Arch Gesch Oberfranken		
Archivo ibero-americano	23485	100966181	Arch Ibero Am	Arch Ibero Am	0004-0452	
Archives internationales d'histoire des idees = International archives of the history of ideas	23486	100966185	Arch Int Hist Idees	Arch Int Hist Idees	0066-6610	
Archiv orientalni	23487	100966188	Arch Orient	Arch Orient	0044-8699	
Archiv fur Orientforschung	23488	100966189	Arch Orientforsch	Arch Orientforsch	0066-6440	
ANU historical journal	23489	100966196	ANU Hist J	ANU Hist J	0001-2068	
Aachener Kunstblatter (DuMont Buchverlag)	23490	100966198	Aachen Kunstbl	Aachen Kunstbl	0515-0612	
Aastaraamat - Eesti Teadusliku Seltsi Rootsis. Annales - Societatis Litterarum Estonicae in Svecia. Eesti Teaduslik Selts Rootsis	23491	100966202	Aastaraam Eesti Tead Seltsi Rootsis	Aastaraam Eesti Tead Seltsi Rootsis	0424-6519	
Archiv fur Reformationsgeschichte	23492	100966203	Arch Reformation Hist	Arch Reformation Hist		
Archives des sciences / editees par la Societe de physique et d'histoire naturelle de Geneve	23493	100966208	Arch Sci	Arch Sci	0003-9705	
Aberdeen University review	23494	100966211	Aberdeen Univ Rev	Aberdeen Univ Rev	0001-320X	
Archiv fur Sozialgeschichte	23495	100966213	Arch Sozialgesch	Arch Sozialgesch		
Archivio storico italiano	23496	100966217	Arch Stor Ital	Arch Stor Ital	0391-7770	
Archivio storico per le province napoletane	23497	100966229	Arch Stor Prov Napol	Arch Stor Prov Napol		
Archivio storico siciliano (Palermo, Italy : 1946)	23498	100966241	Arch Stor Sicil	Arch Stor Sicil		
Acadiensis	23499	100966257	Acadiensis	Acadiensis	0044-5851	
Archaeologia cantiana	23500	100966261	Archaeol Cantiana	Archaeol Cantiana	0066-5894	
Archief. Mededelingen van het Koninklijk zeeuwsch genootschap der wetenschappen. Zeeuwsch genootschap der wetenschappen	23501	100966265	Archief Meded k Zeeuwsch Genoot Wet	Archief Meded k Zeeuwsch Genoot Wet		
Archifacts	23502	100966267	Archifacts	Archifacts	0303-7940	
L'Archiginnasio : bullettino della Biblioteca comunale di Bologna	23503	100966268	Archiginnasio	Archiginnasio	0409-5448	
AA : l'architecture d'aujourd'hui	23504	100966270	Archit Aujourdhui	Archit Aujourdhui		
Archaologischer Anzeiger	23505	100966283	Archaeol Anz	Archaeol Anz	0003-8105	
Archivio veneto (1927)	23506	100966284	Arch Veneto	Arch Veneto		
Archivaria	23507	100966286	Archivaria	Archivaria	0318-6954	
Aramco world magazine	23508	100966174	Aramco World Mag	Aramco World Mag	0146-4132	
Archivo hispalense	23509	100966180	Arch Hisp	Arch Hisp	0210-4067	
Archives de sciences sociales des religions	23510	100966212	Arch Sci Soc Relig	Arch Sci Soc Relig	0335-5985	
Arkansas archeology	23511	100966308	Ark Archeol	Ark Archeol		
Acta Baltica	23512	100966325	Acta Balt	Acta Balt	0567-7289	
Acta ethnologica et linguistica	23513	100966332	Acta Ethnol Linguist	Acta Ethnol Linguist	0400-4019	
Acta numismatica	23514	100966342	Acta Numis	Acta Numis		
Acta Poloniae historica	23515	100966346	Acta Pol Hist	Acta Pol Hist	0001-6829	
Aegyptus	23517	100966360	Aegyptus	Aegyptus	0001-9046	
The Australian library journal	23518	100966390	Aust Libr J	Aust Libr J	0004-9670	
The Archivist	23519	100966305	Archivist	Archivist	0705-2855	
Archivmitteilungen	23520	100966306	Archivmitteilungen	Archivmitteilungen	0004-038X	
Arizona and the West	23521	100966307	Ariz West	Ariz West	0004-1408	
The Arkansas historical quarterly	23522	100966309	Ark Hist Q	Ark Hist Q	0004-1823	
The Armenian review	23523	100966310	Armen Rev	Armen Rev	0004-2366	
Arquivos do Centro Cultural Portugues. Centre culturel portugais	23524	100966311	Arq Cent Cult Port	Arq Cent Cult Port	0590-966X	
Art in America	23525	100966312	Art Am	Art Am	0898-297X	
The Art bulletin	23526	100966313	Art Bull	Art Bull	0004-3079	
Art history	23527	100966314	Art Hist	Art Hist	0141-6790	
Artes de Mexico	23528	100966315	Artes Mex	Artes Mex	0300-4953	
Arv	23529	100966320	Arv	Arv	0066-8176	
Ascania	23530	100966322	Ascania	Ascania		
Asia major	23531	100966324	Asia Major	Asia Major	0004-4482	
Asian and African studies	23532	100966327	Asian Afr Stud	Asian Afr Stud	0066-8281	
Acta classica	23533	100966328	Acta Cl	Acta Cl	0065-1141	
Asian folklore studies	23534	100966329	Asian Folkl Stud	Asian Folkl Stud	0385-2342	
Asian perspective	23535	100966334	Asian Perspect	Asian Perspect	0258-9184	
Acta Musei Napocensis	23536	100966339	Acta Mus Napocensis	Acta Mus Napocensis	0578-5391	
Asian thought & society	23537	100966341	Asian Thought Soc	Asian Thought Soc	0361-3968	
Asiatische Forschungen	23538	100966344	Asiat Forsch	Asiat Forsch		
Acta Universitatis Carolinae. Philosophica et historica	23539	100966352	Acta Univ Carol Philos Hist	Acta Univ Carol Philos Hist	0567-8293	
Atlanta history	23540	100966355	Atlanta Hist	Atlanta Hist	0896-3975	
The Atlanta historical journal	23541	100966356	Atlanta Hist J.	Atlanta Hist J.	0162-5721	
Adventist heritage	23542	100966358	Advent Herit	Advent Herit	0360-389X	
Aerospace historian	23543	100966361	Aerosp Hist	Aerosp Hist	0001-9364	
Aevum	23544	100966362	Aevum	Aevum	0001-9593	
African economic history	23546	100966369	Afr Econ Hist	Afr Econ Hist	0145-2258	
African historical studies	23547	100966370	Afr Hist Stud	Afr Hist Stud	0001-9992	
Africana notes and news. Africana aantekeninge en nuus	23548	100966372	Afr Notes News	Afr Notes News	0002-032X	
Afrika und Ubersee	23549	100966373	Afr Uebersee	Afr Uebersee	0002-0427	
Atti e memorie della Accademia italiana di storia della farmacia	23550	100966375	Atti Mem Accad Ital Stor Farm	Atti Mem Accad Ital Stor Farm		
Atti e memorie della Reale Accademia Petrarca di lettere, arti e scienze	23551	100966378	Atti Mem R Accad Petrarca Lett Arti Sci	Atti Mem R Accad Petrarca Lett Arti Sci		
Ausgrabungen und Funde	23552	100966380	Ausgrab Funde	Ausgrab Funde	0004-8127	
Australian cultural history	23553	100966383	Aust Cult Hist	Aust Cult Hist	0728-8433	
Australian economic history review	23554	100966385	Aust Econ Hist Rev	Aust Econ Hist Rev	0004-8992	
Australian historical studies	23555	100966387	Aust Hist Stud	Aust Hist Stud	1031-461X	
Australian journal of French studies	23556	100966388	Aust J Fr Stud	Aust J Fr Stud	0004-9468	
The Australian journal of politics and history	23557	100966389	Aust J Polit Hist	Aust J Polit Hist	0004-9522	
The Australian quarterly	23558	100966394	Aust Q	Aust Q	0005-0091	
Austriaca	23559	100966396	Austriaca	Austriaca	0396-4590	
Asia quarterly	23560	100966326	Asia Q	Asia Q	0035-2683	
Acta Salmanticensia. Filosofia y letras	23562	100966347	Acta Salmanticensia Ser Filos Letra	Acta Salmanticensia Ser Filos Letra		
Atti e memorie dell'Accademia toscana di scienze e lettere La Colombaria	23563	100966376	Atti Mem Accad Toscana Sci Lett Colombaria	Atti Mem Accad Toscana Sci Lett Colombaria	0392-0836	
Acta Academiae Scientiarum Polonae / Polska Akademia Nauk	23564	100966321	Acta Acad Sci Pol	Acta Acad Sci Pol	0239-2275	
Afro-Americans in New York life and history	23565	100966430	Afro Am N Y Life Hist	Afro Am N Y Life Hist	0364-2437	
American horseman	23566	100966487	Am Horseman	Am Horseman	0091-4371	
Annali della Fondazione Luigi Einaudi. Fondazione Luigi Einaudi	23567	100966514	Ann Fond Luigi Einaudi	Ann Fond Luigi Einaudi	0531-9870	
Annales du Service des antiquites de l'Egypte / Ministere des travaux publics	23568	100966534	Ann Serv Antiq Egypte	Ann Serv Antiq Egypte		
Annales de la Societe d'emulation de Bruges	23569	100966536	Ann soc Emul Bruges	Ann soc Emul Bruges		
American journal of philology	23570	100966556	Am J Philol	Am J Philol	0002-9475	1086-3168
American Jewish history	23571	100966562	Am Jew Hist	Am Jew Hist	0164-0178	1086-3141
Bologna incontri	23572	100966571	Bologna Incontri	Bologna Incontri		
American quarterly	23573	100966576	Am Q	Am Q	0003-0678	1080-6490
American speech	23574	100966585	Am Speech	Am Speech	0003-1283	1527-2133
The American political science review	23575	100966531	Am Polit Sci Rev	Am Polit Sci Rev	0003-0554	
Annales de Normandie	23576	100966528	Ann Normandie	Ann Normandie	0003-4134	
Annales du Midi	23577	100966526	Ann Midi	Ann Midi	0003-4398	
Annals of Iowa	23578	100966524	Ann Iowa	Ann Iowa	0003-4827	
Annales historiques du Mantois	23579	100966518	Ann Hist Mantois	Ann Hist Mantois	0398-5458	
Aziia i Afrika segodnia	23580	100966416	Aziia Afr Segodnia	Aziia Afr Segodnia	0005-2574	
Blatter fur Heimatkunde ...	23581	100966493	BL Heimatkd	BL Heimatkd	0006-4459	
Boletin de la Biblioteca de Menendez Pelayo / Sociedad de Menendez Pelayo	23582	100966550	Bol Bibl Menendez Pelayo	Bol Bibl Menendez Pelayo	0006-1646	
Boletin del Centro de Estudios del Siglo XVIII. Universidad de Oviedo. Centro de Estudios del Siglo XVIII	23583	100966552	Bol Cent Estud Siglo XVIII	Bol Cent Estud Siglo XVIII	0210-475X	
Bulletin of economic research	23584	100966666	Bull Econ Res	Bull Econ Res	0307-3378	
Bulletin of the Gloucester County Historical Society	23585	100966675	Bull Gloucester Cty Hist Soc	Bull Gloucester Cty Hist Soc	0887-5413	
Bulletin of the Georgia Academy of Science	23586	100966673	Bull Ga Acad Sci	Bull Ga Acad Sci	0016-8114	
Bulletin des etudes Valeryennes	23587	100966670	Bull Etud Valeryennes	Bull Etud Valeryennes	0335-508X	
British history illustrated	23588	100966620	Br Hist Illus	Br Hist Illus	0195-2625	
The British studies monitor	23589	100966631	Br Stud Monit	Br Stud Monit	0007-1846	
Aztlan	23590	100966417	Aztlan	Aztlan	0005-2604	
BC studies	23591	100966418	B C Stud	B C Stud	0005-2949	
BDD : be-khol derakhekha da'ehu : ketav-'et le-'inyene Torah u-mada'	23592	100966419	BDD	BDD	0793-3894	
Balcanica (Rome, Italy)	23593	100966420	Balcanica	Balcanica	0392-7660	
Baltimore magazine	23594	100966421	Baltim Mag	Baltim Mag	0005-4453	
Baptist history and heritage	23595	100966422	Baptist Hist Herit	Baptist Hist Herit	0005-5719	
The Baptist quarterly	23596	100966423	Baptist Q	Baptist Q	0005-576X	
Bartonia; proceedings of the Philadelphia botanical club ...	23597	100966424	Bartonia	Bartonia	0198-7356	
Basler Zeitschrift fur Geschichte und Altertumskunde / herausgegeben von der Historischen und Antiquarischen Gesellechaft zu Basel	23598	100966425	Basl Z Gesch Altertumskd	Basl Z Gesch Altertumskd	0067-4540	
African urban quarterly	23599	100966426	Afr Urban Q	Afr Urban Q	0747-6108	
The Beaver	23600	100966427	Beaver	Beaver	0005-7517	
Beitrage zur deutschen Philologie	23602	100966429	Beitr Dtsch Philol	Beitr Dtsch Philol	0522-6341	
Agrartorteneti szemle = Historia rerum rusticarum	23603	100966431	Agratort Szle	Agratort Szle	0002-1105	
BELCAST journal of Belizean affairs	23604	100966432	Belcast J Belizean Aff	Belcast J Belizean Aff		
The Agricultural history review	23605	100966434	Agric Hist Rev	Agric Hist Rev	0002-1490	
Revue belge d'histoire militaire = Belgisch tijdschrift voor militaire geschiedenis	23606	100966435	Rev Belge Hist Milit	Rev Belge Hist Milit	0035-0877	
Revue belge d'histoire contemporaine. Belgisch tijdschrift voor nieuwste geschiedenis	23607	100966437	Belg Tijdschr Nieuwste Geschied	Belg Tijdschr Nieuwste Geschied	0035-0869	
Aguiaine / Societe d'etudes folkloriques du Centre-Ouest	23608	100966438	Aguiaine	Aguiaine	0222-9536	
Belizean studies	23609	100966439	Belizean Stud	Belizean Stud	0250-6831	
Akademiska Dzive	23610	100966440	Akad Dzive	Akad Dzive	0516-3145	
Belleten (Turk Tarih Kurumu)	23611	100966441	Belleten	Belleten	0041-4255	
Bengal, past & present : journal of the Calcutta Historical Society	23612	100966442	Bengal Past Present	Bengal Past Present	0005-8807	
Alabama heritage	23613	100966443	Ala Herit	Ala Herit	0887-493X	
Berichte der Deutschen Botanischen Gesellschaft	23614	100966444	Ber Dtsch Bot Ges	Ber Dtsch Bot Ges	0011-9970	
The Alabama review	23615	100966446	Ala Rev	Ala Rev		
Alaska journal (Juneau, Alaska : 1971)	23616	100966448	Alaska J	Alaska J	0002-4503	
Berytus	23617	100966449	Berytus	Berytus	0067-6195	
Bevolking en gezin	23618	100966451	Bevolking Gezin	Bevolking Gezin	0772-764X	
Albion	23619	100966452	Albion	Albion	0095-1390	
Alt-Thuringen	23620	100966456	Alt Thuring	Alt Thuring	0065-6585	
Biblos	23621	100966466	Biblos	Biblos	0520-0768	
Das Altertum	23622	100966467	Altertum	Altertum	0002-6646	
Bijdragen en mededelingen (Gelre, Vereeniging tot Beoefening van Geldersche Geschiedenis, Oudheidkunde, en Recht)	23623	100966468	Bijdr Meded	Bijdr Meded		
Bijdragen en mededelingen betreffende de geschiedenis der Nederlanden	23624	100966470	Bijdr Meded Geschied Ned	Bijdr Meded Geschied Ned	0165-0505	
Bild der Wissenschaft	23625	100966472	Bild Wiss	Bild Wiss	0006-2375	
American antiquity	23626	100966473	Am Antiq	Am Antiq	0002-7316	
Biography	23627	100966474	Biography	Biography	0162-4962	
The American art journal	23628	100966475	Am Art J	Am Art J	0002-7359	
The American Benedictine review	23629	100966477	Am Benedictine Rev	Am Benedictine Rev	0002-7650	
Biomedical Library bulletin (La Jolla, San Diego, Calif.)	23630	100966478	Biomed Lib Bull	Biomed Lib Bull		
Biuletyn-Biblioteki Jagiellonskiej	23631	100966482	Biul Bibl Jagiellon	Biul Bibl Jagiellon		
Biuletyn Zydowskiego Instytutu Historycznego	23632	100966484	Biul Zydowskiego Inst Hist Pol	Biul Zydowskiego Inst Hist Pol	0006-4033	
American heritage	23633	100966485	Am Herit	Am Herit	0002-8738	
American history illustrated	23634	100966486	Am Hist Illus	Am Hist Illus	0002-8770	
Blatter fur deutsche und internationale Politik	23635	100966488	Bl Dtsch Int Polit	Bl Dtsch Int Polit	0006-4416	
American Indian art magazine	23636	100966489	Am Indian Art Mag	Am Indian Art Mag	0192-9968	
American Indian quarterly	23637	100966490	Am Indian Q	Am Indian Q	0095-182X	
Bleter far geshikhte	23638	100966491	BL Gesz	BL Gesz	0006-470X	
Blatter fur wurttembergische Kirchengeschichte	23639	100966494	BL Wueritemb Kirchengesch	BL Wueritemb Kirchengesch	0341-9479	
The Black scholar	23640	100966495	Black Scholar	Black Scholar	0006-4246	
Blake studies	23641	100966497	Blake Stud	Blake Stud	0006-4548	
Bogens verden	23642	100966498	Bogens Verden	Bogens Verden	0006-5692	
Annales de l'Est	23643	100966502	Ann Est	Ann Est	0365-2017	
Annales. Faculte des lettres et sciences humaines de Nice	23644	100966507	Ann Fac Lett Sci Hum Nice	Ann Fac Lett Sci Hum Nice	0549-1533	
Annales de la Societe royale d'archeologie de Bruxelles. Societe royale d'archeologie de Bruxelles (Belgium)	23645	100966541	Ann Soc R Archeol Brux	Ann Soc R Archeol Brux		
Bohemia (Munich, Germany)	23646	100966546	Bohemia Jahrb Coll Carolinum	Bohemia Jahrb Coll Carolinum	0523-8587	
Boletin de la Academia Nacional de la Historia. Academia Nacional de la Historia (Argentina)	23647	100966547	Bol Acad Nac Hist (Argent)	Bol Acad Nac Hist (Argent)		
Boletin de antropologia americana	23648	100966549	Bol Antropol Am	Bol Antropol Am	0252-841X	
Boletin bibliografico de la Secretaria de Hacienda y Credito Publico	23649	100966551	Bol Bibliogr Secr Hacienda Credito Publico	Bol Bibliogr Secr Hacienda Credito Publico	0185-366X	
Boletin cultural y bibliografico	23650	100966553	Bol Cult Bibliogr	Bol Cult Bibliogr		
The American journal of legal history	23651	100966554	Am J Leg Hist	Am J Leg Hist	0002-9319	
Boletin de estudios latinoamericanos y del Caribe	23652	100966555	Bol Estud Latinoam Caribe	Bol Estud Latinoam Caribe	0304-2634	
Boletin de historia y antiguedades	23653	100966557	Bol Hist Antig	Bol Hist Antig	0006-6303	
Boletim do Instituto de Angola	23654	100966558	Bol Inst Angola	Bol Inst Angola	0020-3726	
American Jewish archives	23655	100966559	Am Jew Arch	Am Jew Arch	0002-905X	
"Boletin del Instituto de Historia Argentina y Americana ""Doctor Emilio Ravignani"""	23656	100966560	Bol Inst Hist Argent Am Dr Emilio Ravignani	Bol Inst Hist Argent Am Dr Emilio Ravignani	0524-9767	
"Boletin de la Institucion Sancho el Sabio. Institucion ""Sancho el Sabio"" (Victoria, Spain)"	23657	100966561	Bol Inst Sancho Sabio	Bol Inst Sancho Sabio	0211-2396	
American Jewish historical quarterly	23658	100966565	Am Jew Hist Q	Am Jew Hist Q	0002-9068	
Boletin de la Universidad de Granada. Universidad de Granada	23659	100966566	Bol Univ Granada	Bol Univ Granada	0210-5454	
Bollettino del Centro internazionale A. Beltrame di storia dello spazio e del tempo	23660	100966567	Boll Cent Int Beltrame Stor Spazio Tempo	Boll Cent Int Beltrame Stor Spazio Tempo		
The American philatelist	23661	100966572	Am Philat	Am Philat	0003-0473	
Bonner Geschichtsblatter / Im Auftrage des Vereins Alt-Bonn herausgegeben von Stadtarchivar	23662	100966573	Bonn Geschichtsbl	Bonn Geschichtsbl	0068-0052	
The Book collector	23663	100966574	Book Collect	Book Collect	0006-7237	
Botanical Museum leaflets, Harvard University	23665	100966577	Bot Mus Lealf Harv Univ	Bot Mus Lealf Harv Univ	0006-8098	
The American review of Canadian studies	23666	100966579	Am Rev Can Stud	Am Rev Can Stud	0272-2011	
Botswana notes and records	23667	100966583	Botsw Notes Rec	Botsw Notes Rec	0525-5090	
Amerasia journal	23668	100966590	Amerasia J	Amerasia J	0044-7471	
Amerikastudien	23669	100966593	Amerikastudien	Amerikastudien	0340-2827	
Amstelodamum	23670	100966596	Amstelodamum	Amstelodamum	0165-9278	
Anales de antropologia	23671	100966598	An Antropol	An Antropol	0185-1225	
Anali Gazi Husrev-begove biblioteke. Gazi Husrevbegova biblioteka u Sarajevu	23672	100966600	An Gazi Husrev Begove Bibl	An Gazi Husrev Begove Bibl	0350-1418	
Anales de historia antigua y medieval	23673	100966602	An Hist Antigua Mediev	An Hist Antigua Mediev		
Anales de historia contemporanea	23674	100966604	An Hist Contemp	An Hist Contemp	0212-6559	
Anales del Instituto de Estudios Madrilenos. Instituto de Estudios Madrilenos (Consejo Superior de Investigaciones Cientificas)	23675	100966605	An Inst Estud Madr	An Inst Estud Madr	0584-6374	
Anales del Instituto Nacional de Antropologia e Historia	23676	100966607	An Inst Nac Antropol Hist	An Inst Nac Antropol Hist	0374-5317	
Ancient philosophy (Garland Publishing)	23677	100966610	Anc Philos	Anc Philos		
Anglican theological review	23678	100966611	Anglican Theol Rev	Anglican Theol Rev	0003-3286	
Annales de Bourgogne	23679	100966614	Ann Bourgogne	Ann Bourgogne		
British heritage	23680	100966619	Br Herit	Br Herit	0195-2633	
The British journal for eighteenth-century studies	23681	100966621	Br J 18th Cent Stud	Br J 18th Cent Stud	0141-867X	
British journal of international studies	23682	100966624	Br J Int Stud	Br J Int Stud	0305-8026	
British journal of law and society	23683	100966625	Br J Law Soc	Br J Law Soc	0306-3704	
The British journal of sports history	23684	100966627	Br J Sports Hist	Br J Sports Hist	0264-9373	
The British Library journal. British Library	23685	100966629	Br Libr J	Br Libr J	0305-5167	
Britannica yearbook of science and the future	23686	100966639	Br Yearb Sci	Br Yearb Sci	0068-1199	
British journal of political science	23687	100966626	Br J Polit Sci	Br J Polit Sci	0007-1234	
The Alabama historical quarterly	23688	100966445	Ala Hist Q	Ala Hist Q	0002-4236	
Alma Mater Philippina	23689	100966454	Alma Mater Philipp	Alma Mater Philipp	0569-082X	
Boletin de la Academia Nacional de la Historia. Academia Nacional de la Historia (Venezuela)	23690	100966548	Bol Acad Nac Hist (Caracas)	Bol Acad Nac Hist (Caracas)	0254-7325	
Boletin de la Sociedad Castellonense de Cultura. Sociedad Castellonense de Cultura	23691	100966563	Bol Soc Castell Cult	Bol Soc Castell Cult	0210-1475	
Bulletin de la Bibliotheque nationale. Bibliotheque nationale (France)	23692	100966690	Bull Bibl Nat	Bull Bibl Nat	0338-4446	
Brigham Young University studies. Brigham Young University	23693	100966684	Brigham Young Univ Stud	Brigham Young Univ Stud	0007-0106	
Bromley local history	23694	100966686	Bromley Local Hist	Bromley Local Hist		
Bronte Society transactions. Bronte Society	23695	100966687	Bronte Soc Trans	Bronte Soc Trans	0309-7765	
Bulletin - American Academy of Arts and Sciences. American Academy of Arts and Sciences	23696	100966688	Bull Am Acad Arts Sci	Bull Am Acad Arts Sci	0002-712X	
Bulletin de l'Association Guillaume Bude. Association Guillaume Bude	23697	100966689	Bull Assoc Guillaume Bude	Bull Assoc Guillaume Bude	0184-6957	
Bulletin - Bibliotheque royale Albert Ier. Bibliotheque royale Albert Ier	23698	100966691	Bull Bibl R Albert	Bull Bibl R Albert		
Bulletin of the British Association of Orientalists. British Association of Orientalists	23699	100966692	Bull Br Assoc Orient	Bull Br Assoc Orient		
Bulletin of the British Museum (Natural History). Historical series	23700	100966693	Bull Br Mus	Bull Br Mus	0068-2306	
Bulletin du Centre d'histoire economique et sociale de la region lyonnaise. Centre d'histoire economique et sociale de la region lyonnaise	23701	100966694	Bull Cent Hist Econ Soc Reg Lyon	Bull Cent Hist Econ Soc Reg Lyon	0249-5902	
Wen shi zhe xue bao / Guo li Taiwan da xue	23702	100966695	Bull Coll Lib Arts	Bull Coll Lib Arts	0508-3052	
Bulletin - Cosmos Club. Cosmos Club (Washington, D.C.)	23703	100966696	Bull Cosm Club	Bull Cosm Club	0742-8995	
Bulletin de la societe archeologique, historique et artistique Le vieux papier pour l'etude de la vie et des moeurs d'autrefois	23704	100966697	Bull Soc Archeol Hist Artist Vieux Pap	Bull Soc Archeol Hist Artist Vieux Pap	1145-7325	
Bulletin (Societe belge d'etudes Napoleoniennes)	23705	100966699	Bull Soc Belge Etud Napoleon	Bull Soc Belge Etud Napoleon		
Bulletin de la Societe de Borda (Dax, France : 1876)	23706	100966700	Bull Soc Borda	Bull Soc Borda		
Bulletin de la Societe d'histoire moderne. Societe d'histoire moderne (Paris, France)	23707	100966701	Bull Soc Hist Mod	Bull Soc Hist Mod	0991-1367	
Bulletin de la Societe historique et archeologique du Perigord. Societe historique et archeologique du Perigord	23708	100966702	Bull Soc Hist Archeol Perigord	Bull Soc Hist Archeol Perigord	0037-9425	
Bulletin de la Societe de l'histoire du protestantisme francais (1852)	23709	100966703	Bull Soc Hist Protestant Fr	Bull Soc Hist Protestant Fr		
Bulletin de la Societe industrielle de Mulhouse	23710	100966705	Bull Soc Ind Mulhouse	Bull Soc Ind Mulhouse	0037-9441	
Bulletin de la Societe des lettres, sciences et arts de la Correze. Societe des lettres, sciences et arts de la Correze	23711	100966706	Bull Soc Lett Sci Arts Correze	Bull Soc Lett Sci Arts Correze		
Bulletin de la Societe nationale des antiquaires de France. Societe nationale des antiquaires de France	23712	100966707	Bull Soc Nat Antiq Fr	Bull Soc Nat Antiq Fr	0081-1181	
Annales de Bretagne et des pays de l'Ouest	23713	100966709	Ann Bretagne Payes Ouest	Ann Bretagne Payes Ouest	0399-0826	
Explorations pyreneennes : bulletin trimestriel de la Societe Ramond	23714	100966710	Bull Soc Ramond	Bull Soc Ramond		
The Annals of the Chinese Historical Society of the Pacific Northwest / Mei-kuo hsi pei Hua jen li shih hsueh hui	23715	100966711	Ann Chin Hist Soc Pac Northwest	Ann Chin Hist Soc Pac Northwest	0740-8536	
Burgenlandische Heimatblatter	23716	100966714	Burgenl Heimatbl	Burgenl Heimatbl		
Burgense	23717	100966717	Burgense	Burgense	0521-8195	
The Burlington magazine	23718	100966720	Burlingt Mag	Burlingt Mag	0007-6287	
Business history	23719	100966722	Bus Hist	Bus Hist	0007-6791	
By og bygd	23720	100966728	By Bygd	By Bygd	0084-8212	
Annales du Cercle royal d'histoire et d'archeologie d'Ath et de la region et musees athois	23721	100966730	Ann Cerc Roy Hist Archeol Ath	Ann Cerc Roy Hist Archeol Ath		
Bygone Kent	23722	100966732	Bygone Kent	Bygone Kent		
Byzantinische Forschungen	23723	100966736	Byzantinische Forsch	Byzantinische Forsch		
Byzantinische Zeitschrift	23724	100966744	Byzantinische Z	Byzantinische Z	0007-7704	
Byzantinoslavica	23725	100966749	Byzantinoslavica	Byzantinoslavica	0007-7712	
Cabo	23726	100966757	Cabo	Cabo	0379-4830	
Acta agronomica	23727	100966760	Acta Agron.	Acta Agron	0120-2812	2323-0118
Cahiers d'Alexandrie	23728	100966763	Cah Alex	Cah Alex		
Cahiers alsaciens d'archeologie, d'art et d'histoire	23729	100966767	Cah Alsac Archeol Art Hist	Cah Alsac Archeol Art Hist	0575-0385	
Cahiers des Ameriques latines (Paris, France : 1985)	23730	100966774	Cah Am Lat	Cah Am Lat	1141-7161	
Acta historiae rerum naturalium necnon technicarum. Special issue	23731	100966777	Acta Hist Rerum Nat Tech	Acta Hist Rerum Nat Tech	0231-6005	
Bulletin du Musee hongrois des beaux-arts = O.M. Szepmuveszeti Muzeum kozlemenyei	23732	100966796	Bull Mus Hong B Arts	Bull Mus Hong B Arts	0133-5545	
Bulletin - Musees royaux des beaux-arts de Belgique. Musees royaux des beaux-arts de Belgique	23733	100966798	Bull Mus Rov Beaux Arts Belg	Bull Mus Rov Beaux Arts Belg	0027-3856	
L'Actualite chimique	23734	100966799	Actual Chim	Actual Chim	0151-9093	
Bulletin of the Population and Development Studies Center. Soul Taehakkyo. In'gu mit Palchon Munje Yon'guso	23735	100966814	Bull Popul Dev Stud Cent	Bull Popul Dev Stud Cent		
African notes : bulletin of the Institute of African Studies, University of Ibadan	23736	100966817	Afr Notes	Afr Notes	0002-0087	
Bulletin of the School of Oriental and African Studies. University of London. School of Oriental and African Studies	23737	100966847	Bull Sch Orient Afr Stud	Bull Sch Orient Afr Stud	0041-977X	
Bulletin des Leo Baeck Instituts. Leo Baeck Institute	23738	100966853	Bull Leo Baeck Inst	Bull Leo Baeck Inst	0024-0915	
Alberta history	23739	100966860	Alberta Hist	Alberta Hist	0316-1552	
Albertus Magnus Blatter	23740	100966861	Albertus Magnus Blaett	Albertus Magnus Blaett	0401-2739	
Bulletin of peace proposals	23741	100966801	Bull Peace Propos	Bull Peace Propos	0007-5035	
Bulletin de la Societe archeologique, historique, litteraire & scientifique du Gers. Societe archeologique, historique, litteraire et scientifique du Gers	23742	100966698	Bull Soc Archeol Hist Litt Sci Gers	Bull Soc Archeol Hist Litt Sci Gers		
Annales (Paris, France : 1946)	23743	100966713	Ann Econ Soc Civilis	Ann Econ Soc Civilis	0395-2649	
Bulletin de philosophie medievale	23744	100966811	Bull Philos Mediev	Bull Philos Mediev	0068-4023	
Der Altsprachliche Unterricht	23745	100966897	Altsprachi Unterr	Altsprachi Unterr	0002-6670	
